Vehicle	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Total
BMW ActiveHybrid 3 (335ih)														 402 	 905 	 151 	 30 	" 1,488 "
Mercedes S400												 801 	 309 	 121 	 64 	 10 	 1 	" 1,306 "
Mazda Tribute												 570 	 484 	 90 				" 1,144 "
BMW ActiveHybrid 5 (535ih)														 403 	 520 	 112 	 12 	" 1,047 "
Chevy Impala Hybrid															 56 	 565 	 272 	 893 
VW Touareg Hybrid													 390 	 250 	 118 	 30 	 16 	 804 
BMW ActiveHybrid 7												 102 	 338 	 230 	 31 	 45 	 25 	 771 
Porsche Panamera S													 52 	 570 	 113 			 735 
Mercedes ML450h												 627 	 1 	 22 	 11 	 20 	 10 	 691 
Mercedes E400H															 282 	 158 	 53 	 493 
Acura RLX																 133 	 250 	 383 
BMW X6												 205 	 43 	 3 				 251 
Chrysler Aspen										46	 33 							 79 
GMC Sierra															 65 	 6 	 1 	 72 
Dodge Durango											 9 							 9 
TOTAL	 17 	" 9,350 "	" 20,282 "	" 36,035 "	" 47,600 "	" 84,199 "	" 209,711 "	" 252,636 "	" 352,274 "	" 312,386 "	" 290,271 "	" 274,210 "	" 268,807 "	" 434,344 "	" 495,534 "	" 443,823 "	" 384,404 "	" 3,915,883 "
